  PID  PPID  %CPU COMM
20980     1   0.0 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
20981     1   0.0 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
21562     1   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/153.0.8010.48/Helpers/browser_crashpad_handler
21564     1   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/153.0.8010.48/Helpers/browser_crashpad_handler
21653     1   0.0 /usr/libexec/historicalaudiod
21654     1   0.0 /usr/sbin/distnoted
21655     1   0.0 /usr/libexec/containermanagerd
21966     1   0.0 /Applications/ChatGPT.app/Contents/Resources/native/bare-modifier-monitor
23419     1   0.0 /usr/libexec/microstackshot
26904     1   0.0 /usr/libexec/filevaultd
26905     1   0.0 /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
26906     1   0.0 /System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent
28408     1   0.0 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
28409     1   0.0 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
30146     1   0.0 ./target/release/lev-serve
30149 30146   0.0 <defunct>
30151 30146   0.0 <defunct>
30153 30146   0.0 <defunct>
30155 30146   0.0 <defunct>
32010     1   0.0 /usr/libexec/dirhelper
32125     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdsync
32566     1   0.0 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectUpdateService.xpc/Contents/MacOS/XProtectUpdateService
32721 57399   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/153.0.8010.48/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
33161     1   0.0 /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/MessagesBlastDoorService.xpc/Contents/MacOS/MessagesBlastDoorService
33166     1   0.0 /System/Library/PrivateFrameworks/FaceTimeMessageStore.framework/facetimemessagestored
33174     1   0.0 /System/Library/PrivateFrameworks/CallIntelligence.framework/callintelligenced
33175     1   0.0 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
34543     1   0.0 /System/Library/PrivateFrameworks/StreamingExtractor.framework/Versions/A/XPCServices/STExtractionService.privileged.xpc/Contents/MacOS/STExtractionService.privileged
34708     1   0.0 /usr/libexec/griddatad
36951     1   0.0 ./target/release/lev-serve
36957 36951   0.0 <defunct>
36959 36951   0.0 <defunct>
36961 36951   0.0 <defunct>
36963 36951   0.0 <defunct>
38567     1   0.0 /System/Library/CoreServices/ReportSystemMemory
39173     1   0.0 aslmanager
39903     1   0.0 ./target/release/lev-serve
39906 39903   0.0 <defunct>
39908 39903   0.0 <defunct>
39910 39903   0.0 <defunct>
39912 39903   0.0 <defunct>
43525     1   0.0 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
44952     1   0.0 /System/Library/ExtensionKit/Extensions/GenerativeExperiencesSafetyInferenceProvider.appex/Contents/MacOS/GenerativeExperiencesSafetyInferenceProvider
44956     1   0.0 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService
46325     1   0.0 /System/Library/PrivateFrameworks/EcosystemAnalytics.framework/Support/ecosystemanalyticsd
46326     1   0.0 /System/Library/PrivateFrameworks/Ecosystem.framework/Support/ecosystemd
46327     1   0.0 /usr/libexec/containermanagerd_system
46378     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
46456     1   0.0 /usr/libexec/misagent
47368     1   0.0 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
47370     1   0.0 /System/Library/PrivateFrameworks/BusinessChatService.framework/businessservicesd
47371     1   0.0 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
